,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 a 84,"5,927","6,060","6,216","6,392","6,585","6,795","7,024","7,268","7,529","7,805","8,101","8,411","8,739","9,084","9,441","9,804","10,175","10,562","10,944","11,341","11,752","12,158","12,582","13,023","13,477","13,939","14,413","14,899","15,397","15,912","16,452","16,915","17,414","17,981","18,611","19,303","20,106","20,967","21,876","22,837","23,847","24,907","26,020","27,179","28,534","30,081","31,929","33,926","36,081","38,407","40,921","43,611","46,490","49,427","52,312","55,120","57,964","60,836","63,755","66,708","69,710","72,770","75,906","79,128","82,473","85,954","89,583","93,335","97,207","101,135","105,192","109,409","113,834","118,496","123,410","128,557","133,873","139,277","144,680","150,035","155,343","160,815","166,431","172,274","178,414","184,902","191,657","198,750","206,186","213,954","222,017","230,344","238,917","247,740","256,852","266,164","276,089","286,770","298,311","310,796","324,423"
80,"1,641","1,681","1,727","1,776","1,831","1,890","1,955","2,020","2,091","2,166","2,247","2,330","2,419","2,510","2,604","2,699","2,796","2,896","2,982","3,087","3,193","3,289","3,404","3,517","3,636","3,755","3,878","4,004","4,136","4,274","4,419","4,469","4,626","4,799","4,983","5,180","5,388","5,611","5,842","6,086","6,340","6,610","6,890","7,180","7,514","7,892","8,342","8,824","9,349","9,920","10,538","11,183","11,871","12,559","13,233","13,877","14,515","15,152","15,803","16,463","17,144","17,836","18,552","19,295","20,086","20,913","21,773","22,641","23,532","24,444","25,416","26,439","27,517","28,653","29,836","31,056","32,263","33,437","34,570","35,689","36,833","38,177","39,484","40,849","42,289","43,814","45,424","47,090","48,825","50,618","52,459","54,345","56,270","58,263","60,351","62,397","64,906","67,615","70,514","73,609","76,908"
81,"1,386","1,419","1,457","1,499","1,543","1,594","1,647","1,706","1,765","1,829","1,897","1,970","2,045","2,126","2,207","2,290","2,374","2,462","2,552","2,630","2,726","2,821","2,909","3,012","3,115","3,221","3,328","3,439","3,552","3,672","3,797","3,928","3,975","4,122","4,284","4,455","4,639","4,834","5,041","5,257","5,485","5,721","5,972","6,232","6,534","6,876","7,283","7,724","8,195","8,707","9,263","9,864","10,491","11,137","11,762","12,375","12,987","13,597","14,210","14,838","15,473","16,131","16,797","17,487","18,203","18,964","19,758","20,581","21,412","22,252","23,119","24,045","25,020","26,049","27,134","28,265","29,433","30,590","31,717","32,808","33,887","34,990","36,285","37,546","38,863","40,254","41,726","43,281","44,890","46,568","48,302","50,084","51,910","53,775","55,707","57,732","59,716","62,145","64,769","67,577","70,575"
82,"1,158","1,185","1,215","1,250","1,288","1,328","1,373","1,421","1,474","1,527","1,584","1,645","1,711","1,778","1,850","1,921","1,994","2,070","2,149","2,231","2,301","2,388","2,473","2,553","2,646","2,738","2,831","2,927","3,025","3,126","3,233","3,345","3,461","3,510","3,646","3,796","3,955","4,125","4,306","4,498","4,698","4,908","5,127","5,360","5,630","5,939","6,307","6,704","7,133","7,592","8,088","8,626","9,209","9,794","10,376","10,941","11,519","12,100","12,685","13,271","13,873","14,482","15,112","15,751","16,412","17,098","17,824","18,582","19,365","20,144","20,941","21,764","22,644","23,571","24,550","25,584","26,663","27,778","28,885","29,966","31,013","32,051","33,113","34,357","35,571","36,839","38,178","39,597","41,095","42,646","44,264","45,937","47,657","49,421","51,224","53,093","55,051","56,971","59,318","61,854","64,566"
83,959,977,"1,002","1,030","1,061","1,094","1,130","1,170","1,213","1,260","1,308","1,358","1,412","1,471","1,530","1,592","1,655","1,721","1,789","1,861","1,934","1,997","2,076","2,151","2,223","2,305","2,386","2,468","2,552","2,637","2,726","2,820","2,918","3,026","3,075","3,200","3,338","3,485","3,641","3,808","3,983","4,168","4,361","4,562","4,803","5,077","5,408","5,765","6,150","6,565","7,009","7,488","8,008","8,548","9,072","9,593","10,123","10,670","11,223","11,779","12,337","12,910","13,491","14,091","14,700","15,330","15,983","16,670","17,389","18,119","18,854","19,608","20,388","21,222","22,101","23,031","24,013","25,040","26,102","27,158","28,191","29,194","30,189","31,210","32,401","33,567","34,785","36,071","37,434","38,874","40,365","41,921","43,531","45,187","46,887","48,625","50,428","52,317","54,170","56,433","58,876"
84,782,798,815,837,862,889,919,951,986,"1,023","1,065","1,108","1,152","1,199","1,250","1,302","1,356","1,413","1,472","1,532","1,598","1,663","1,720","1,790","1,857","1,920","1,990","2,061","2,132","2,203","2,277","2,353","2,434","2,524","2,623","2,672","2,786","2,912","3,046","3,188","3,341","3,500","3,670","3,845","4,053","4,297","4,589","4,909","5,254","5,623","6,023","6,450","6,911","7,389","7,869","8,334","8,820","9,317","9,834","10,357","10,883","11,411","11,954","12,504","13,072","13,649","14,245","14,861","15,509","16,176","16,862","17,553","18,265","19,001","19,789","20,621","21,501","22,432","23,406","24,414","25,419","26,403","27,360","28,312","29,290","30,428","31,544","32,711","33,942","35,248","36,627","38,057","39,549","41,094","42,683","44,317","45,988","47,722","49,540","51,323","53,498"
85 a 89,"2,044","2,075","2,118","2,169","2,231","2,300","2,374","2,458","2,548","2,648","2,756","2,875","3,001","3,135","3,276","3,426","3,582","3,753","3,937","4,130","4,332","4,546","4,765","4,979","5,200","5,418","5,625","5,832","6,037","6,238","6,437","6,641","6,847","7,087","7,361","7,667","7,952","8,277","8,637","9,034","9,469","9,962","10,489","11,051","11,724","12,506","13,476","14,542","15,711","16,987","18,369","19,862","21,473","23,116","24,735","26,341","28,026","29,802","31,671","33,624","35,642","37,713","39,821","41,969","44,148","46,372","48,635","50,951","53,329","55,732","58,221","60,806","63,479","66,242","69,098","72,072","75,186","78,467","81,942","85,621","89,489","93,506","97,612","101,745","105,874","110,007","114,293","118,713","123,325","128,176","133,306","138,662","144,293","150,208","156,395","162,834","169,502","176,386","183,494","190,855","198,395"
85,630,641,656,671,691,713,736,762,790,821,853,890,927,965,"1,007","1,051","1,096","1,144","1,195","1,248","1,302","1,360","1,418","1,469","1,531","1,589","1,642","1,703","1,763","1,822","1,882","1,944","2,008","2,082","2,164","2,254","2,301","2,405","2,518","2,639","2,767","2,906","3,050","3,204","3,385","3,593","3,853","4,133","4,440","4,771","5,124","5,506","5,916","6,335","6,755","7,177","7,608","8,061","8,529","9,014","9,505","10,000","10,496","11,007","11,525","12,060","12,602","13,162","13,740","14,337","14,961","15,603","16,252","16,921","17,613","18,356","19,141","19,971","20,850","21,770","22,724","23,677","24,612","25,523","26,430","27,363","28,447","29,512","30,626","31,801","33,048","34,365","35,731","37,157","38,636","40,157","41,721","43,323","44,985","46,729","48,441"
86,499,507,518,532,546,562,582,602,624,648,675,703,734,767,799,835,873,913,956,"1,001","1,048","1,097","1,147","1,199","1,244","1,297","1,346","1,390","1,440","1,490","1,539","1,588","1,638","1,697","1,764","1,837","1,918","1,963","2,056","2,157","2,266","2,381","2,506","2,636","2,793","2,973","3,194","3,442","3,708","4,000","4,315","4,651","5,014","5,385","5,750","6,115","6,504","6,903","7,325","7,762","8,215","8,672","9,135","9,599","10,076","10,562","11,062","11,567","12,089","12,618","13,174","13,755","14,353","14,961","15,587","16,236","16,933","17,671","18,451","19,277","20,143","21,043","21,942","22,827","23,691","24,553","25,441","26,469","27,482","28,541","29,659","30,845","32,098","33,399","34,757","36,167","37,618","39,110","40,641","42,230","43,896"
87,390,396,403,413,425,438,451,469,485,504,525,548,572,598,626,653,684,718,754,791,832,873,916,960,"1,005","1,043","1,087","1,128","1,163","1,203","1,243","1,282","1,321","1,366","1,419","1,480","1,544","1,616","1,659","1,740","1,830","1,927","2,030","2,141","2,273","2,428","2,618","2,827","3,061","3,313","3,588","3,886","4,204","4,530","4,849","5,164","5,498","5,856","6,226","6,616","7,021","7,441","7,864","8,294","8,725","9,167","9,619","10,082","10,551","11,025","11,514","12,029","12,568","13,123","13,690","14,273","14,880","15,530","16,220","16,951","17,724","18,536","19,381","20,226","21,060","21,877","22,693","23,533","24,505","25,464","26,468","27,526","28,651","29,838","31,072","32,361","33,700","35,079","36,497","37,954","39,467"
88,299,303,309,316,325,335,345,357,372,385,402,419,438,459,480,505,527,556,585,616,649,686,722,759,796,834,865,901,933,961,991,"1,022","1,052","1,088","1,128","1,174","1,228","1,285","1,347","1,387","1,458","1,538","1,623","1,715","1,826","1,956","2,119","2,297","2,493","2,712","2,948","3,206","3,486","3,768","4,045","4,317","4,603","4,909","5,238","5,579","5,937","6,309","6,696","7,085","7,482","7,879","8,286","8,702","9,129","9,552","9,986","10,437","10,911","11,408","11,922","12,448","12,989","13,552","14,157","14,800","15,480","16,201","16,959","17,748","18,539","19,322","20,090","20,858","21,651","22,565","23,470","24,416","25,415","26,477","27,596","28,763","29,981","31,246","32,551","33,894","35,276"
89,226,228,232,237,244,252,260,268,277,290,301,315,330,346,364,382,402,422,447,474,501,530,562,592,624,655,685,710,738,762,782,805,828,854,886,922,961,"1,008","1,057","1,111","1,148","1,210","1,280","1,355","1,447","1,556","1,692","1,843","2,009","2,191","2,394","2,613","2,853","3,098","3,336","3,568","3,813","4,073","4,353","4,653","4,964","5,291","5,630","5,984","6,340","6,704","7,066","7,438","7,820","8,200","8,586","8,982","9,395","9,829","10,286","10,759","11,243","11,743","12,264","12,823","13,418","14,049","14,718","15,421","16,154","16,892","17,622","18,341","19,061","19,805","20,661","21,510","22,398","23,337","24,334","25,386","26,482","27,628","28,820","30,048","31,315"
90 a 94,475,477,484,493,506,520,539,559,579,602,630,658,690,730,774,819,869,927,992,"1,064","1,143","1,227","1,315","1,407","1,499","1,587","1,672","1,750","1,816","1,876","1,928","1,970","2,008","2,060","2,125","2,207","2,299","2,403","2,519","2,651","2,794","2,938","3,099","3,284","3,521","3,805","4,176","4,599","5,071","5,598","6,180","6,825","7,540","8,273","8,992","9,695","10,432","11,206","12,030","12,906","13,841","14,836","15,889","16,997","18,159","19,360","20,598","21,859","23,147","24,436","25,768","27,137","28,548","30,004","31,514","33,093","34,747","36,473","38,269","40,135","42,094","44,158","46,344","48,667","51,136","53,743","56,463","59,258","62,094","64,955","67,844","70,861","73,992","77,266","80,716","84,369","88,196","92,228","96,469","100,919","105,560"
90,167,169,171,175,179,185,192,198,205,212,223,232,243,256,270,285,300,318,336,358,382,405,430,457,483,508,533,557,575,596,613,627,643,663,687,715,745,779,819,861,907,941,994,"1,055","1,131","1,220","1,332","1,458","1,596","1,749","1,917","2,103","2,306","2,513","2,716","2,913","3,121","3,342","3,578","3,831","4,103","4,385","4,682","4,989","5,310","5,633","5,963","6,291","6,630","6,967","7,311","7,661","8,020","8,396","8,791","9,208","9,641","10,085","10,544","11,022","11,537","12,085","12,666","13,283","13,932","14,610","15,293","15,970","16,640","17,312","18,005","18,803","19,596","20,425","21,303","22,234","23,218","24,243","25,316","26,432","27,584"
91,121,122,124,126,129,133,138,143,148,154,160,169,176,186,196,208,221,234,250,266,285,307,326,348,370,391,410,429,447,459,474,485,494,508,525,546,570,596,624,658,694,733,763,809,869,941,"1,032","1,134","1,249","1,374","1,514","1,666","1,837","2,011","2,180","2,346","2,519","2,701","2,896","3,103","3,325","3,565","3,813","4,074","4,346","4,629","4,915","5,207","5,497","5,795","6,101","6,412","6,731","7,057","7,399","7,761","8,141","8,537","8,943","9,363","9,803","10,275","10,778","11,312","11,880","12,477","13,101","13,731","14,356","14,978","15,602","16,246","16,987","17,723","18,494","19,311","20,177","21,092","22,046","23,046","24,087"
92,86,86,87,89,92,93,97,101,105,109,114,118,126,132,141,148,159,170,182,196,210,227,246,261,280,297,314,328,341,353,361,370,377,385,396,412,429,449,471,495,522,553,586,613,658,714,786,867,959,"1,063","1,175","1,301","1,440","1,584","1,725","1,862","2,006","2,156","2,314","2,484","2,664","2,857","3,066","3,283","3,511","3,748","3,996","4,247","4,503","4,754","5,021","5,296","5,576","5,863","6,158","6,468","6,796","7,140","7,499","7,868","8,251","8,651","9,082","9,540","10,028","10,546","11,092","11,663","12,240","12,814","13,387","13,963","14,558","15,240","15,920","16,633","17,388","18,189","19,035","19,919","20,845"
93,60,60,61,61,63,65,66,70,72,76,79,82,86,93,99,105,111,121,131,142,154,166,181,196,209,224,236,249,258,267,274,279,283,289,297,307,319,333,349,367,387,410,436,465,493,533,589,653,725,806,898,998,"1,111","1,228","1,343","1,456","1,572","1,696","1,825","1,961","2,107","2,263","2,429","2,609","2,797","2,994","3,199","3,414","3,632","3,851","4,074","4,311","4,556","4,806","5,063","5,326","5,605","5,899","6,209","6,532","6,864","7,211","7,572","7,962","8,376","8,818","9,288","9,783","10,301","10,827","11,351","11,875","12,402","12,949","13,573","14,197","14,851","15,545","16,281","17,059","17,871"
94,41,40,41,42,43,44,46,47,49,51,54,57,59,63,68,73,78,84,93,102,112,122,132,145,157,167,179,187,195,201,206,209,211,215,220,227,236,246,256,270,284,301,320,342,370,397,437,487,542,606,676,757,846,937,"1,028","1,118","1,214","1,311","1,417","1,527","1,642","1,766","1,899","2,042","2,195","2,356","2,525","2,700","2,885","3,069","3,261","3,457","3,665","3,882","4,103","4,330","4,564","4,812","5,074","5,350","5,639","5,936","6,246","6,570","6,920","7,292","7,689","8,111","8,557","9,024","9,499","9,974","10,449","10,929","11,426","11,994","12,562","13,159","13,791","14,463","15,173"
95 a 99,65,65,65,67,68,71,74,76,79,85,89,95,102,114,122,135,147,167,191,217,245,276,310,341,376,407,434,458,476,484,488,487,484,485,493,503,517,534,555,577,607,641,684,732,818,923,"1,056","1,183","1,314","1,457","1,616","1,796","2,001","2,186","2,356","2,521","2,724","2,960","3,217","3,497","3,794","4,106","4,438","4,791","5,168","5,576","6,011","6,474","6,964","7,467","8,001","8,564","9,155","9,779","10,431","11,111","11,818","12,553","13,320","14,125","14,974","15,869","16,807","17,791","18,821","19,910","21,064","22,294","23,607","25,006","26,492","28,051","29,665","31,313","32,995","34,711","36,519","38,406","40,385","42,478","44,698"
95,27,27,26,28,28,29,30,31,32,34,35,38,40,43,46,50,54,59,66,73,82,90,99,108,118,128,135,143,148,152,155,157,158,160,163,168,174,180,188,196,208,220,234,250,273,298,327,363,406,453,508,569,639,708,775,844,919,999,"1,080","1,170","1,262","1,359","1,463","1,575","1,695","1,825","1,961","2,104","2,253","2,407","2,566","2,732","2,903","3,084","3,273","3,467","3,667","3,872","4,091","4,322","4,566","4,822","5,084","5,360","5,648","5,959","6,290","6,644","7,020","7,418","7,836","8,261","8,688","9,116","9,549","9,998","10,510","11,024","11,563","12,135","12,744"
